model,engine,device,dtype,score_threshold,max_detections,map,map_50,map_75,map_small,map_medium,map_large,mar_100,inference_mean_ms,total_mean_ms,total_p50_ms,total_p95_ms,total_p99_ms,throughput_images_per_second
yolo11m,ultralytics,auto,float32,0.001,,0.5059376955032349,0.6725265383720398,0.550302267074585,0.3350660502910614,0.5602403283119202,0.663714587688446,0.6611627340316772,10.273772776406258,11.67915718825534,11.553948512300849,12.847743066959083,13.529301162343474,85.62261675916209
yolov10m,ultralytics,auto,float32,0.001,,0.505582869052887,0.6752814054489136,0.5525975823402405,0.3349114954471588,0.5601897835731506,0.6628221273422241,0.6933701634407043,9.473747299192473,10.879745639441534,10.738297016359866,12.007004849147052,12.546623139642179,91.91391353624796
yolov9m,ultralytics,auto,float32,0.001,,0.5050126314163208,0.6711809039115906,0.5499219298362732,0.324521541595459,0.5597838163375854,0.6576698422431946,0.6603618860244751,12.674464057106524,14.079717545351013,13.688594102859497,15.194127918221056,16.18125721113758,71.02415206689926
rtdetr_v2_r34vd,transformers,auto,float32,0.001,,0.49902597069740295,0.6752046942710876,0.5409008264541626,0.320260226726532,0.531620442867279,0.6643655896186829,0.7103419899940491,17.200105737475678,20.723865542560816,20.60424059163779,22.007222787942737,22.48355789342895,48.253546035911576
yolov8m,ultralytics,auto,float32,0.001,,0.4935929775238037,0.6592109799385071,0.5375156998634338,0.3104841411113739,0.5469180941581726,0.6542527675628662,0.6536000370979309,8.314129794249311,9.722135599842295,9.536119643598795,10.996099677868187,11.613977872766554,102.85805929473163
rtdetr_r18vd_coco_o365,transformers,auto,float32,0.001,,0.49008500576019287,0.665240466594696,0.532651424407959,0.3285420835018158,0.521694540977478,0.6475293040275574,0.7093088030815125,13.190921603143215,16.93197358418256,16.818745178170502,18.185088539030403,18.756885386537764,59.059860625708495
rtdetr_r34vd,transformers,auto,float32,0.001,,0.4884629249572754,0.6673257946968079,0.526209831237793,0.30517148971557617,0.5228286981582642,0.6602330803871155,0.6977956295013428,16.752735906140877,20.42002677018754,20.29528992716223,21.680183708667755,22.065487068612132,48.97153227340337
dfine-small-coco,transformers,auto,float32,0.001,,0.48513567447662354,0.6543357968330383,0.5259252786636353,0.2928502857685089,0.5222155451774597,0.6538881063461304,0.6995722055435181,19.318961346847935,22.850012334575876,22.663098410703242,24.08466275082901,24.578195654321465,43.76365252489747
rf-detr-nano,rf_detr,auto,float32,0.001,,0.48409679532051086,0.6754329204559326,0.5178022384643555,0.2525542378425598,0.5365360975265503,0.7123733162879944,0.6530337333679199,10.696782254613936,13.33395066051744,13.251462951302528,14.5600559306331,14.899534021969886,74.99652769535551
yolov5mu,ultralytics,auto,float32,0.001,,0.4815370440483093,0.6467506885528564,0.5279576778411865,0.30155491828918457,0.5307451486587524,0.641055703163147,0.6430851817131042,9.072809973964468,10.475969326682389,10.159566882066429,11.420217482373118,12.135715987533334,95.4565605163611
rtdetr_v2_r18vd,transformers,auto,float32,0.001,,0.48092323541641235,0.650520920753479,0.5208485126495361,0.30166223645210266,0.5120686292648315,0.6415656805038452,0.7005859017372131,13.481361488066614,16.992223959695547,16.871276078745723,18.15303578041494,18.553998332936317,58.85044843876441
yolov5s6u,ultralytics,auto,float32,0.001,,0.4790673851966858,0.6487305760383606,0.525822639465332,0.3117663562297821,0.5255039930343628,0.6029549241065979,0.658946692943573,12.128033325914293,13.543665923690423,13.229178381152451,16.264366218820218,17.154787820763886,73.83525299828989
yolo26s,ultralytics,auto,float32,0.001,,0.4740211069583893,0.6383247375488281,0.5163085460662842,0.294945627450943,0.5196009278297424,0.6400215029716492,0.6799948811531067,9.459315013047307,10.872555319033562,10.735821910202503,12.04679966904223,12.621013107709588,91.97469873980717
yolo12s,ultralytics,auto,float32,0.001,,0.4683528542518616,0.6332796812057495,0.5068849325180054,0.27564796805381775,0.5187462568283081,0.6462152600288391,0.6271569728851318,12.064332037977874,13.470954893575982,13.338255579583347,14.673426514491439,15.355291056912392,74.23378727790703
rtdetr_r18vd,transformers,auto,float32,0.001,,0.46391499042510986,0.6370581984519958,0.5025878548622131,0.2837837338447571,0.4965929687023163,0.6287974715232849,0.6870644092559814,13.319666285067797,16.827755559887738,16.686649527400732,18.041054310742766,18.513441258110106,59.42563144806409
yolov10s,ultralytics,auto,float32,0.001,,0.45911070704460144,0.6265833377838135,0.4998708665370941,0.26463162899017334,0.5058561563491821,0.6299518346786499,0.6538886427879333,7.785120974387974,9.195868725283072,9.095239569433033,10.318604542408139,10.85951189976186,108.74448405843435
yolo11s,ultralytics,auto,float32,0.001,,0.4565628170967102,0.6224772334098816,0.49339187145233154,0.2780390679836273,0.5020274519920349,0.624959409236908,0.6171377897262573,8.606251588324085,10.013007695041598,9.861945873126388,11.114521860145032,11.65412541013211,99.87009202990987
yolov9s,ultralytics,auto,float32,0.001,,0.45605534315109253,0.6147172451019287,0.494812935590744,0.25697290897369385,0.5034265518188477,0.6256386041641235,0.6214656233787537,15.295389240467921,16.70605571004562,16.474531963467598,17.947158333845437,18.85194547707215,59.85853377698746
yolov8s,ultralytics,auto,float32,0.001,,0.44202518463134766,0.6048417687416077,0.47824785113334656,0.253775030374527,0.4902321696281433,0.6025309562683105,0.6108874082565308,6.976376568432897,8.38580722445622,8.279004483483732,9.48204209562391,10.036971662193539,119.24910425839715
dfine-nano-coco,transformers,auto,float32,0.001,,0.427860289812088,0.6026696562767029,0.4543551206588745,0.22876442968845367,0.4676571786403656,0.6212480068206787,0.6346707344055176,17.13506599580869,20.817952618328853,20.670237485319376,22.12138290051371,22.71365463966504,48.03546334905023
yolov5su,ultralytics,auto,float32,0.001,,0.4238361418247223,0.5887491703033447,0.4590855538845062,0.23747602105140686,0.4724048674106598,0.5767884254455566,0.5955089330673218,7.521134233567864,8.925902605894953,8.652067510411143,9.831919090356678,10.432910413946962,112.03348772140622
yolov5n6u,ultralytics,auto,float32,0.001,,0.41456639766693115,0.5750775337219238,0.4582093358039856,0.24923332035541534,0.4561009407043457,0.5327556133270264,0.6124072074890137,11.817848809063435,13.24221346899867,12.985145789571106,14.811273931991309,15.896775238215932,75.51607609566926
yolo26n,ultralytics,auto,float32,0.001,,0.40048834681510925,0.5557712912559509,0.43494588136672974,0.1968020498752594,0.44086265563964844,0.579787015914917,0.6130975484848022,9.300896142516285,10.714429024467245,10.568947996944189,11.821345228236169,12.377106132917106,93.33208495911644
yolo12n,ultralytics,auto,float32,0.001,,0.3984592854976654,0.5527418851852417,0.43050649762153625,0.19466346502304077,0.44211849570274353,0.5724819898605347,0.5630627274513245,11.884484858484939,13.297204433102161,13.16859107464552,14.44475589087233,15.105627733282748,75.2037772323476
yolo11n,ultralytics,auto,float32,0.001,,0.3866317868232727,0.540911853313446,0.4207954406738281,0.1945880800485611,0.4235307276248932,0.5606080293655396,0.5590330958366394,8.555250357277691,9.968911143671722,9.794701007194817,11.059957486577332,11.761342717800296,100.31185809443205
yolov10n,ultralytics,auto,float32,0.001,,0.3821960687637329,0.5326874256134033,0.41457754373550415,0.1886577308177948,0.4199606776237488,0.5465475916862488,0.6021228432655334,7.645530352275818,9.05944674545899,8.955102995969355,10.220429627224803,10.726874459069226,110.38201648475342
yolov9t,ultralytics,auto,float32,0.001,,0.372937947511673,0.5179089903831482,0.4018308222293854,0.17293177545070648,0.41069352626800537,0.5304250121116638,0.5561639666557312,14.601987556135281,16.017618701886384,15.742705087177455,17.15789436129853,18.02130953408779,62.43125264819986
yolov8n,ultralytics,auto,float32,0.001,,0.3668963313102722,0.517092227935791,0.3987955152988434,0.1785711944103241,0.405467689037323,0.5195155739784241,0.5506041049957275,6.887573045864701,8.29748452519998,8.18693044129759,9.428870060946792,10.001088362187149,120.51845314841353
yolov5nu,ultralytics,auto,float32,0.001,,0.33803486824035645,0.48883646726608276,0.3674907088279724,0.15504975616931915,0.37538376450538635,0.47794821858406067,0.532418966293335,7.472447063634172,8.88133231154643,8.52604303508997,9.723116713576019,10.296763528604076,112.59571930440227
